sugars_100g,fat_100g,salt_100g,fiber_100g,fruit_veg_100g,additives_n,proteins_100g,carbohydrates_100g,target,is_empty_calories,is_hidden_sodium,is_hyper_processed,is_low_fat_sugar_trap,is_hyperpalatable,violates_expectations,is_functionally_inconsistent,is_ultra_processed_combo,symbolic_score
0.0,0.0,0.0,17.9,0.0,0.0,10.26,76.92,0,0,0,0,0,0,0,0,0,0
0.0,32.14,1.08966,3.6,0.0,0.0,7.14,53.57,1,0,0,0,0,0,0,0,0,0
12.7,13.2,1.0,0.0,0.0,3.0,8.1,50.3,1,0,0,0,0,0,0,0,0,0
8.57,15.71,1.63322,1.4,0.0,2.0,5.71,44.29,1,0,1,0,0,0,0,0,0,0
8.1,1.8,0.15875,0.8,0.0,3.0,3.0,8.3,0,0,0,0,0,0,0,0,0,0
3.57,53.57,1.08966,10.7,0.0,0.0,21.43,17.86,1,0,0,0,0,0,0,0,0,0
3.5,0.5,1.27,0.9,0.0,3.0,0.8,6.9,0,0,0,0,0,0,0,0,0,0
4.29,0.0,0.0,2.1,0.0,0.0,0.71,9.29,0,0,0,0,0,0,0,0,0,0
15.0,29.0,0.01,0.0,0.0,0.0,2.0,58.0,1,0,0,0,0,0,0,0,0,0
2.61,0.0,0.05588,0.9,0.0,1.0,0.87,3.48,0,0,0,0,0,0,0,0,0,0
1.77,1.33,0.8763,2.7,0.0,0.0,1.77,8.85,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
74.0,1.1,0.16,0.0,0.0,2.0,1.5,90.0,1,1,0,0,1,0,0,0,0,0
6.0,0.0,0.81,3.4,0.0,0.0,1.6,0.0,0,0,0,0,0,0,0,0,0,0
1.79,1.79,2.17678,0.0,0.0,3.0,19.64,1.79,1,0,1,0,0,0,0,0,0,0
4.0,0.0,0.10922,4.0,0.0,3.0,10.0,9.33,0,0,0,0,0,0,0,0,0,0
0.0,29.41,0.56896,0.0,0.0,2.0,24.71,0.0,0,0,0,0,0,0,0,0,0,0
11.39,0.0,0.01524,0.0,0.0,2.0,0.0,12.66,0,0,0,0,0,0,0,0,0,0
39.53,30.23,1.65354,2.3,0.0,1.0,6.98,41.86,1,1,1,1,0,0,0,0,0,0
